year,campus_id,campus_as_printed,period_start,period_end,source_pdf,organism,group,n_isolates,drug,percent_susceptible,flag,note,not_at12
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,amp_sulbact,90,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,cefazolin,80,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,ceftazidime,96,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,cefepime,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,ceftriaxone,96,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,pip_tazo,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,aztreonam,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,ciprofloxacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,levofloxacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,gentamicin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,tobramycin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,trimeth_sulfa,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,ertapenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter koseri,gram_negative,51,nitrofurantoin,60,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,amox_clav,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,amp_sulbact,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,cefazolin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,ceftazidime,79,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,cefepime,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,ceftriaxone,76,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,pip_tazo,78,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,aztreonam,79,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,ciprofloxacin,92,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,levofloxacin,94,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,gentamicin,97,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,tobramycin,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,trimeth_sulfa,91,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,ertapenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Citrobacter freundii,gram_negative,64,nitrofurantoin,93,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,amox_clav,85,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,amp_sulbact,71,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,cefazolin,72,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,ceftazidime,87,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,cefepime,88,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,ceftriaxone,87,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,pip_tazo,87,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,aztreonam,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,meropenem,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,ciprofloxacin,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,levofloxacin,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,gentamicin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,tobramycin,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,amikacin,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,trimeth_sulfa,92,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,ertapenem,99,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Klebsiella pneumoniae,gram_negative,585,nitrofurantoin,50,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,amox_clav,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,amp_sulbact,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,cefazolin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,ceftazidime,80,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,cefepime,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,ceftriaxone,80,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,pip_tazo,78,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,aztreonam,83,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,ciprofloxacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,levofloxacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,gentamicin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,tobramycin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,trimeth_sulfa,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,ertapenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter aerogenes,gram_negative,81,nitrofurantoin,21,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,amox_clav,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,amp_sulbact,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,cefazolin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,ceftazidime,77,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,cefepime,88,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,ceftriaxone,74,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,pip_tazo,78,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,aztreonam,79,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,ciprofloxacin,92,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,levofloxacin,97,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,gentamicin,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,tobramycin,95,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,trimeth_sulfa,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,ertapenem,97,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Enterobacter cloacae complex,gram_negative,209,nitrofurantoin,35,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,ampicillin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,amox_clav,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,amp_sulbact,22,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,cefazolin,0,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,ceftazidime,91,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,cefepime,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,ceftriaxone,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,pip_tazo,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,aztreonam,98,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,meropenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,ciprofloxacin,72,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,levofloxacin,86,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,gentamicin,83,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,tobramycin,93,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,amikacin,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,trimeth_sulfa,76,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,ertapenem,100,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Morganella morganii,gram_negative,60,nitrofurantoin,0,,urinary_isolates_only,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Proteus mirabilis,gram_negative,286,ampicillin,79,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Proteus mirabilis,gram_negative,286,amox_clav,95,,,True
2017,TUH,TEMPLE UNIVERSITY HOSPITAL,2017-01-01,2017-12-31,data/raw/parked_antibiograms/TUH_Antibiogram_2017.pdf,Proteus mirabilis,gram_negative,286,amp_sulbact,84,,,True
